login,is_bot,reasons
0x0ACB,no,
0x53A,no,
0xafbf,no,
0xcafeb33f,no,
100gold,no,
20kdc,no,
2frac,no,
2shady4u,no,
31,no,
3DartBlade,no,
4d49,no,
6nodder6,no,
777joe,no,
A-Machynak,no,
ANamelessGhoul,no,
AR-DEV-1,no,
ARAKHN1D,no,
ARtsiomachka,no,
ASamBlur,no,
AThousandShips,no,
AayushSarikhada,no,
AbhijitL,no,
AdeptusForge,no,
AdriaandeJongh,no,
AdrienUfferte,no,
AeioMuch,no,
Aeonitis,no,
Afreedman77,no,
AidanCooper2003,no,
Aioshiro,no,
Airyzz,no,
Akeal,no,
Akshajk3,no,
AleksLitynski,no,
Alesinx,no,
Alex-Onceanu,no,
Alex2782,no,
AlexKhadjitov,no,
AlexOtsuka,no,
Alexofp,no,
Alikae,no,
Altarick,no,
AndrewB330,no,
AndrewShobbrook,no,
Andrewyuan34,no,
AndreyCortez,no,
Ansraer,no,
ArchercatNEO,no,
ArchieVillain,no,
Ardagecimli0,no,
AriaTheCurseling,no,
ArjhanToteck,no,
Armynator,no,
Arnklit,no,
Aryombre,no,
Asaduji,no,
AshWolf,no,
AshbyGeek,no,
Astral-Sheep,no,
AtlaStar,no,
AturAseman,no,
AxelStrem,no,
Aziroshin,no,
B-Zhen,no,
BadMachine,no,
Barkerprooks,no,
BastiaanOlij,no,
BattyBovine,no,
BenBlueeeee,no,
BenLubar,no,
Benjamin-Dobell,no,
Bitlytic,no,
Black-Cat,no,
BlackShift,no,
BlueCube3310,no,
BokoYoss,no,
Bonkahe,no,
Bossdell113,no,
Brakatuta,no,
Brawmario,no,
Break-Ben,no,
BrianBHuynh,no,
Brogolem35,no,
Bromeon,no,
BrotherShort,no,
BuzzLord,no,
C0mputery,no,
CSLRDoesntGameDev,no,
CW-Jesse,no,
CabalCrow,no,
CadenXc,no,
CalebMostyn,no,
Calinou,no,
Carbonyte,no,
Carsonthemonkey,no,
CedNaru,no,
Changryy,no,
Chaosed0,no,
Chaosus,no,
Cheeseness,no,
Chenyang341,no,
CherrySodaPop,no,
ChildLearningClub,no,
ChrisBase,no,
Chubercik,no,
Clancey,no,
Clark-E,no,
Cliear,no,
ColinSORourke,no,
ComradeNapCali,no,
CookieBadger,no,
Cordells,no,
CoreTaxxe,no,
CrabNickolson,no,
CrayolaEater,no,
CrazyRoka,no,
Cre8or,no,
CreatedBySeb,no,
CreationsOfANoob,no,
CreepGin,no,
Cretezy,no,
Cthuflu,no,
Cwazywierdo,no,
CyberVenlor,no,
CycloneRing,no,
Cykyrios,no,
CypherDoesStuff,no,
D0V4HKIIN,no,
DCTewi,no,
DDarby-Lewis,no,
DFelipehDEV,no,
DJLink,no,
DS204ever,no,
Dadaskis,no,
DallasHuff,no,
DanielKinsman,no,
DanielSnd,no,
DarioSamo,no,
Dark-Horizons,no,
DarkKilauea,no,
DarkMessiah,no,
DarkiStar,no,
DarkyMago,no,
DaughterOfZaun,no,
Daylily-Zeleen,no,
DeeJayLSP,no,
DeerLuuu,no,
Delsin-Yu,no,
Deltt,no,
DemonKingSwarn,no,
DeptmerAshley,no,
DevPoodle,no,
DevilboxGames,no,
DexterFstone,no,
DinkeyKing,no,
DirtyDoggo,no,
Dominrog,no,
Dowsley,no,
Dr-helicopter,no,
DrRevert,no,
DuartePonce,no,
DubiousDuck,no,
Ducklett,no,
Dynamic-Pistol,no,
EAinsley,no,
EGAMatsu,no,
EIREXE,no,
Ebbo,no,
Eddy-Rogers,no,
EdwardChanCH,no,
Elip100,no,
EmrysMyrddin,no,
EndGameGl,no,
EnlightenedOne,no,
Enrique726,no,
Eole211,no,
Erhannis,no,
EricEzaM,no,
Esual,no,
Ewall198,no,
ExEago,no,
F3der1co,no,
FFF27,no,
FJRODDUR,no,
FONHOME,no,
Fahien,no,
Faless,no,
Faolan-Rad,no,
FemboyValve,no,
FeniXb3,no,
Fgico,no,
FifthTundraG,no,
FilipeAlexCosta,no,
FireCatMagic,no,
Flarkk,no,
FlooferLand,no,
FloofyPeachy,no,
Fluxx7,no,
Flynsarmy,no,
FoggyFella,no,
