login,commits_in_window,merged_prs_in_window,bucket
0x0ACB,1,1,Occasional
0x53A,1,1,Newcomer
0xafbf,1,1,Occasional
0xcafeb33f,2,2,Occasional
100gold,1,1,Occasional
20kdc,0,1,Occasional
2frac,0,1,Newcomer
3DartBlade,1,1,Newcomer
4d49,1,0,Occasional
AR-DEV-1,1,1,Newcomer
ASamBlur,1,1,Newcomer
AThousandShips,53,43,Frequent
AayushSarikhada,1,1,Newcomer
AdriaandeJongh,1,1,Occasional
AdrienUfferte,1,1,Newcomer
AeioMuch,5,5,Occasional
AidanCooper2003,1,1,Newcomer
Aioshiro,0,2,Newcomer
Airyzz,2,2,Newcomer
AleksLitynski,1,0,Occasional
Alex-Onceanu,1,1,Newcomer
Alex2782,10,9,Occasional
Alexofp,1,1,Newcomer
AndrewShobbrook,1,0,Occasional
Andrewyuan34,1,1,Newcomer
Ansraer,1,1,Occasional
ArchercatNEO,5,5,Newcomer
ArjhanToteck,1,1,Newcomer
Armynator,0,1,Newcomer
Arnklit,12,11,Occasional
Aryombre,2,2,Newcomer
Asaduji,2,3,Newcomer
AshWolf,1,1,Newcomer
AtlaStar,3,2,Occasional
Aziroshin,2,1,Occasional
BadMachine,1,1,Newcomer
BastiaanOlij,19,17,Occasional
BattyBovine,2,2,Occasional
Bitlytic,1,1,Occasional
Black-Cat,1,1,Occasional
BlueCube3310,67,71,Frequent
Bonkahe,3,3,Newcomer
Bossdell113,1,1,Newcomer
BrianBHuynh,2,2,Newcomer
Brogolem35,1,1,Newcomer
Bromeon,3,3,Occasional
BrotherShort,11,11,Newcomer
CW-Jesse,2,1,Newcomer
CabalCrow,1,1,Newcomer
Calinou,148,133,Frequent
Carbonyte,1,0,Occasional
Changryy,2,2,Newcomer
Chaosed0,1,0,Occasional
Chaosus,45,29,Frequent
Cheeseness,0,1,Occasional
ChildLearningClub,1,1,Newcomer
ChrisBase,1,0,Occasional
Chubercik,29,28,Frequent
Cliear,1,0,Occasional
ColinSORourke,4,5,Newcomer
CookieBadger,1,1,Occasional
CrabNickolson,1,1,Newcomer
CrayolaEater,3,2,Occasional
CrazyRoka,2,0,Occasional
CreatedBySeb,4,3,Occasional
CreepGin,1,0,Occasional
Cwazywierdo,1,1,Newcomer
CycloneRing,1,1,Newcomer
Cykyrios,3,2,Occasional
D0V4HKIIN,1,0,Occasional
DallasHuff,1,2,Newcomer
DanielKinsman,6,4,Occasional
DanielSnd,2,2,Occasional
DarioSamo,49,48,Frequent
Dark-Horizons,1,1,Newcomer
DarkMessiah,2,2,Occasional
DarkiStar,2,1,Occasional
Daylily-Zeleen,5,4,Occasional
DeeJayLSP,17,18,Occasional
Delsin-Yu,8,6,Occasional
DevPoodle,2,2,Occasional
DevilboxGames,1,0,Occasional
DexterFstone,0,3,Newcomer
DinkeyKing,1,1,Newcomer
Dominrog,1,1,Newcomer
Dowsley,2,1,Occasional
Dr-helicopter,1,1,Newcomer
DubiousDuck,1,1,Newcomer
Dynamic-Pistol,1,0,Occasional
EAinsley,2,2,Occasional
Eddy-Rogers,1,1,Newcomer
Elip100,1,1,Newcomer
EmrysMyrddin,1,0,Occasional
EnlightenedOne,0,1,Occasional
Eole211,0,1,Newcomer
EricEzaM,1,1,Occasional
ExEago,1,1,Newcomer
F3der1co,1,1,Newcomer
Fahien,1,1,Newcomer
Faless,31,28,Frequent
FeniXb3,2,2,Newcomer
Fgico,1,1,Newcomer
FifthTundraG,0,1,Newcomer
FilipeAlexCosta,1,1,Newcomer
FireCatMagic,1,1,Newcomer
Flarkk,13,13,Occasional
FlooferLand,1,1,Newcomer
Flynsarmy,4,4,Occasional
Frozenfire92,1,1,Occasional
GabCoolDude,0,1,Newcomer
Garetonchick,1,0,Occasional
Geekotron,1,0,Occasional
Geometror,14,11,Occasional
Giganzo,48,47,Frequent
GlitchedCode922,3,3,Newcomer
Grandro,1,1,Newcomer
GreenCrowDev,1,0,Occasional
Gromph,1,1,Occasional
Grublady,8,7,Occasional
GuacamoleAficionado,1,0,Newcomer
GuilhermeGSousa,3,2,Occasional
GustJc,4,3,Occasional
HKunogi,1,0,Occasional
Hakunamawatta,2,2,Newcomer
HauntedBees,1,0,Occasional
Hilderin,42,42,Frequent
HolonProduction,49,39,Frequent
Hot-key,1,1,Newcomer
HuntJSparra,2,2,Newcomer
Hysterelius,1,0,Occasional
IceflowRE,1,1,Occasional
Illauriel,1,0,Occasional
InfoDevkota,0,1,Newcomer
IphStich,3,3,Newcomer
Ir1ana,1,1,Newcomer
Ivorforce,149,154,Key
Jabberdrake,1,0,Occasional
JackErb,1,1,Newcomer
Jan200101,1,1,Newcomer
JekSun97,3,3,Newcomer
Jesusemora,1,1,Occasional
JoNax97,1,0,Occasional
Joey-Einerhand,1,1,Newcomer
Jojo-1000,2,2,Newcomer
Joonnas,0,1,Newcomer
Jordyfel,5,5,Occasional
Joy-less,6,6,Occasional
JulianHeuser,7,7,Newcomer
Kaleb-Reid,6,13,Newcomer
Kazuo256,1,1,Occasional
KerekesDavid,1,2,Newcomer
KeyboardDanni,4,4,Occasional
Khusheete,1,0,Occasional
KingTheFifth,1,1,Newcomer
KirbyRider1337,1,1,Newcomer
KoBeWi,280,254,Key
Koyper,3,3,Occasional
L2750558108,5,5,Occasional
LainAmongYou,1,1,Newcomer
LaneSBarnes,1,1,Newcomer
LanzaSchneider,1,1,Newcomer
Lazy-Rabbit-2001,8,8,Occasional
Lielay9,6,6,Occasional
LiveTrower,2,2,Newcomer
Logharaa,1,1,Occasional
LunaCapra,3,2,Occasional
LurkerAbove,1,1,Newcomer
MBCX,2,2,Occasional
MJacred,9,5,Occasional
MTareqAzim,1,1,Occasional
Macksaur,2,2,Occasional
MajorMcDoom,6,5,Occasional
Manik2607,1,0,Occasional
Maran23,3,3,Occasional
MarcusAahl,1,1,Newcomer
MarcusPaulsson,0,1,Occasional
MarianoGnu,0,1,Occasional
MartinMajewski,1,1,Newcomer
MathdudeMan,1,1,Newcomer
Meorge,28,28,Frequent
Meowcat285,1,1,Newcomer
MewPurPur,9,7,Occasional
MichaelMacha,1,1,Occasional
Mickeon,39,35,Frequent
Mingxi-Z,2,2,Newcomer
MisakaRinOwO,0,2,Newcomer
Miziziziz,1,1,Newcomer
Monochrome-debug,1,1,Newcomer
Monstrofil,2,2,Newcomer
MrBlockers,1,1,Occasional
Muller-Castro,4,4,Occasional
Murrent,1,1,Newcomer
Namey5,8,8,Newcomer
Naputt1,1,1,Occasional
Naros,1,1,Occasional
Nazarwadim,11,9,Occasional
NessaTeal,1,1,Newcomer
NetroScript,1,1,Newcomer
Nick-njh,1,0,Newcomer
Nikitf777,5,5,Newcomer
Nintorch,6,6,Newcomer
Nodragem,4,3,Occasional
Nolkaloid,2,1,Occasional
Notgoyome,1,1,Newcomer
Nova840,1,1,Newcomer
OS-of-S,1,1,Newcomer
OhiraKyou,1,1,Newcomer
Olle-Lukowski,3,3,Newcomer
OmarQurashi868,1,1,Newcomer
Onlinerocker,1,1,Newcomer
OsakiTsukiko,1,0,Occasional
OzelotVanilla,4,4,Newcomer
Paeniche,1,1,Newcomer
Peelep,1,1,Newcomer
PhairZ,5,5,Newcomer
PiCode9560,2,2,Newcomer
ProgrammerOnCoffee,10,10,Newcomer
QbieShay,7,6,Occasional
RGDTAB,1,1,Newcomer
Raftatul,1,1,Occasional
RandomShaper,33,26,Frequent
Ratstail91,1,1,Newcomer
RedMser,9,7,Occasional
RedworkDE,2,0,Occasional
Repiteo,3383,100,Key
Rindbee,26,22,Frequent
Rinnegatamante,1,1,Newcomer
RobProductions,3,2,Occasional
Rocka06,2,2,Newcomer
RolandMarchand,1,1,Occasional
RossRothenstine,1,1,Newcomer
RoyBerardo,2,2,Occasional
Rubonnek,4,4,Occasional
Rudolph-B,14,14,Occasional
Ruw-Van,1,1,Newcomer
Ryan-000,8,10,Occasional
SK83RJOSH,1,1,Newcomer
SaNeOr,1,1,Occasional
SaracenOne,5,4,Occasional
SatLess,2,2,Occasional
Sauermann,15,14,Occasional
Saver310,1,1,Newcomer
Scarface1809,1,1,Newcomer
Sch1nken,1,1,Occasional
SchultzenDK,1,1,Newcomer
Shaderd00d,0,1,Newcomer
ShadowCow13,0,2,Newcomer
Shadows-of-Fire,1,1,Newcomer
SheepYhangCN,2,2,Occasional
Silver1063,1,1,Newcomer
SlashScreen,1,1,Occasional
SlugFiller,1,1,Occasional
SomeRanDev,1,1,Occasional
SourceOfHTML,1,0,Occasional
Spartan322,1,1,Occasional
Splizard,2,2,Occasional
SpockBauru,2,2,Newcomer
Squamto,2,2,Newcomer
StarryWorm,1,1,Newcomer
StaydMcMuffin,3,3,Newcomer
StefanCristian,1,1,Newcomer
SteffenBlake,1,1,Newcomer
Sticksman,2,2,Newcomer
SubmergedTree,1,1,Newcomer
Summersay415,11,11,Occasional
SupSuper,1,1,Newcomer
Susmaster64,1,1,Newcomer
Syntaxxor,1,1,Newcomer
Synzorasize,2,2,Newcomer
TCROC,12,12,Occasional
TTHHR,1,1,Newcomer
TV4Fun,2,0,Occasional
Talkashie,2,1,Newcomer
Tcarr20,0,1,Newcomer
TelePete,1,1,Newcomer
Teschnique,1,1,Newcomer
TheSofox,0,1,Occasional
TheYellowArchitect,1,1,Occasional
TheoLomeuBraga,1,1,Newcomer
Thought-Weaver,0,1,Newcomer
Tiktalik,1,1,Newcomer
TimCoraxAudio,1,1,Newcomer
TokageItLab,57,57,Frequent
TopherBriggs,1,1,Newcomer
TrueJole,1,1,Newcomer
Unbansheee,1,1,Newcomer
UnfavorableEnhancer,1,2,Newcomer
Uumutunal,1,1,Newcomer
VlkrS,1,1,Newcomer
VojtaStruhar,1,1,Occasional
WesleyClements,1,1,Newcomer
WhalesState,27,27,Frequent
Wierdox,3,3,Occasional
WindyDarian,1,1,Occasional
WinnerWind,4,4,Newcomer
WolfgangSenff,0,1,Occasional
YYF233333,42,39,Newcomer
Yarwin,2,2,Newcomer
YeldhamDev,56,52,Frequent
Yelloween10,6,6,Newcomer
Yobbolita,1,1,Newcomer
Z0rb14n,1,1,Occasional
ZhiyiHu93,1,1,Newcomer
ZoZoHatch,1,0,Occasional
Zshandi,1,1,Newcomer
Zylann,6,5,Occasional
a-johnston,11,11,Newcomer
aXu-AP,3,1,Occasional
aaronfranke,100,93,Frequent
aaronjyoder,1,1,Newcomer
aaronp64,30,27,Frequent
adamscott,57,54,Frequent
adamwych,1,1,Newcomer
ajreckof,1,1,Occasional
akien-mga,1463,130,Key
akx,1,1,Occasional
alessand10,3,3,Newcomer
alexkar598,1,1,Newcomer
allenwp,14,17,Occasional
amarsero,3,3,Newcomer
and-rad,1,1,Occasional
andOlga,1,1,Newcomer
anknetau,1,1,Newcomer
anvilfolk,3,1,Occasional
apples,5,3,Occasional
archhabra,2,2,Newcomer
arkology,33,37,Frequent
arlez80,1,1,Occasional
aryan-11825114,4,3,Occasional
atlasapplications,2,3,Newcomer
avnotaklu,1,1,Newcomer
axewizardbgg,0,1,Newcomer
axunes,1,1,Newcomer
badsectoracula,4,4,Newcomer
basicer,3,3,Occasional
beicause,58,58,Frequent
berarma,11,8,Occasional
beru,1,1,Newcomer
betalars,1,1,Occasional
bits-by-brandon,1,0,Occasional
bjornmp,1,1,Occasional
bleikerja,1,1,Newcomer
bnjmntmm,1,1,Newcomer
brandon515,1,1,Newcomer
brennennen,1,1,Occasional
brevven,1,1,Newcomer
bruno-brant,1,1,Newcomer
bruvzg,438,425,Key
brycehutchings,2,2,Newcomer
bs-mwoerner,1,1,Occasional
btgs-0,2,2,Newcomer
buresu,3,3,Occasional
cadence-s,2,2,Newcomer
caimantilla,1,1,Occasional
caleb98,1,1,Newcomer
carsonetb,1,1,Newcomer
celyk,1,1,Newcomer
cherrythecool,1,0,Occasional
chocola-mint,5,4,Occasional
chsoen,1,1,Newcomer
cier,1,0,Occasional
cixil,1,0,Occasional
ckaiser,2,1,Occasional
clayjohn,145,85,Frequent
colinator27,1,1,Newcomer
corngood,0,1,Newcomer
crei0,1,1,Newcomer
cruglet,1,1,Newcomer
dagarsar,7,8,Newcomer
dalexeev,45,30,Frequent
daniel080400,4,4,Newcomer
